year,sp500,tbill,tbond,corpbond,realest,gold,inflation
2000,-9.03,5.82,16.66,9.39,9.29,-5.44,3.44
2001,-11.85,3.4,5.57,8.54,6.68,0.75,1.6
2002,-21.97,1.61,15.12,12.14,9.56,25.57,2.48
2003,28.36,1.01,0.38,12.32,9.81,19.89,2.04
2004,10.74,1.37,4.49,10.35,13.64,4.65,3.34
2005,4.83,3.15,2.87,5.3,13.51,17.77,3.34
2006,15.61,4.73,1.96,5.2,1.73,23.2,2.52
2007,5.48,4.36,10.21,4.84,-5.4,31.92,4.11
2008,-36.55,1.37,20.1,-3.54,-12.0,4.32,-0.02
2009,25.94,0.15,-11.12,20.21,-3.86,25.04,2.81
2010,14.82,0.14,8.46,9.41,-4.11,29.24,1.44
2011,2.1,0.05,16.04,12.26,-3.89,12.02,3.06
2012,15.89,0.09,2.97,9.33,6.44,5.68,1.76
2013,32.15,0.06,-9.1,-0.98,10.71,-27.61,1.51
2014,13.52,0.03,10.75,10.78,4.51,0.12,0.65
2015,1.38,0.05,1.28,-1.5,5.2,-12.11,0.64
2016,11.77,0.32,0.69,11.52,5.3,8.1,2.05
2017,21.61,0.93,2.8,9.23,6.21,12.66,2.13
2018,-4.23,1.94,-0.02,-3.27,4.52,-0.93,2.0
2019,31.21,2.06,9.64,15.25,3.69,19.08,2.31
2020,18.02,0.35,11.33,10.6,10.43,24.17,1.32
2021,28.47,0.05,-4.42,0.93,18.87,-3.75,7.19
2022,-18.04,2.02,-17.83,-15.14,5.67,0.55,6.44
2023,26.06,5.07,3.88,8.74,6.29,13.26,3.12
